county_name,state_name,Value
TAYLOR,KENTUCKY,1228.7
CONTRA COSTA,CALIFORNIA,1229.1
KING GEORGE,VIRGINIA,1234.7
CANNON,TENNESSEE,1245.8
OKANOGAN,WASHINGTON,1248.2
NEW CASTLE,DELAWARE,1260.7
KLICKITAT,WASHINGTON,1261.8
WARREN,TENNESSEE,1261.8
FREDERICK,VIRGINIA,1263.1
CARROLL,OHIO,1267.0
WASHINGTON,OHIO,1270.4
HARDEMAN,TENNESSEE,1277.0
BLOUNT,TENNESSEE,1277.7
BLACKFORD,INDIANA,1278.5
MARINETTE,WISCONSIN,1293.7
BUTTE,CALIFORNIA,1294.7
GRANT,WISCONSIN,1297.8
KOOTENAI,IDAHO,1301.9
NEW KENT,VIRGINIA,1313.2
OHIO,KENTUCKY,1315.7
OCEANA,MICHIGAN,1319.9
BEDFORD,VIRGINIA,1321.9
LANGLADE,WISCONSIN,1327.2
IOSCO,MICHIGAN,1328.4
BARRON,WISCONSIN,1329.7
ALPENA,MICHIGAN,1336.5
FREMONT,IDAHO,1338.5
PRESQUE ISLE,MICHIGAN,1339.5
MUSKEGON,MICHIGAN,1342.9
HALIFAX,VIRGINIA,1343.8
OWEN,INDIANA,1346.0
NEWAYGO,MICHIGAN,1348.8
FAYETTE,KENTUCKY,1390.3
STEVENS,WASHINGTON,1396.1
AUGUSTA,VIRGINIA,1400.0
FAYETTE,INDIANA,1402.7
CAMPBELL,VIRGINIA,1410.5
HOWARD,MARYLAND,1416.3
BENTON,WASHINGTON,1418.0
APPOMATTOX,VIRGINIA,1426.6
VIRGINIA BEACH CITY,VIRGINIA,1432.8
BROWN,OHIO,1435.3
ST. JOSEPH,INDIANA,1435.4
FAYETTE,TENNESSEE,1444.2
LAUDERDALE,TENNESSEE,1444.8
ADAMS,OHIO,1446.2
DOUGLAS,WASHINGTON,1448.0
LORAIN,OHIO,1452.5
LARUE,KENTUCKY,1467.5
CHARLOTTE,VIRGINIA,1468.5
LINCOLN,KENTUCKY,1471.0
GREENSVILLE,VIRGINIA,1471.6
MARATHON,WISCONSIN,1471.7
OLDHAM,KENTUCKY,1474.8
BALTIMORE,MARYLAND,1475.1
SPENCER,INDIANA,1475.2
NELSON,KENTUCKY,1475.9
CRITTENDEN,KENTUCKY,1479.0
BOURBON,KENTUCKY,1496.5
MAURY,TENNESSEE,1496.8
MECOSTA,MICHIGAN,1497.4
KALAMAZOO,MICHIGAN,1502.9
MARION,KENTUCKY,1504.1
MECKLENBURG,VIRGINIA,1504.1
RUTHERFORD,TENNESSEE,1506.6
CASS,MICHIGAN,1506.9
FULTON,INDIANA,1508.0
PULASKI,KENTUCKY,1512.0
BERRIEN,MICHIGAN,1512.1
ASHTABULA,OHIO,1515.6
PERRY,OHIO,1516.7
MCCRACKEN,KENTUCKY,1522.1
PITTSYLVANIA,VIRGINIA,1527.3
JENNINGS,INDIANA,1528.1
CHESAPEAKE CITY,VIRGINIA,1534.5
TIPTON,TENNESSEE,1542.2
FRANKLIN,VIRGINIA,1544.7
HENDERSON,KENTUCKY,1554.8
STEUBEN,INDIANA,1559.9
DYER,TENNESSEE,1563.5
OCONTO,WISCONSIN,1566.1
WASHINGTON,INDIANA,1567.1
BRANCH,MICHIGAN,1569.2
MAHONING,OHIO,1573.0
MONTCALM,MICHIGAN,1573.8
WICOMICO,MARYLAND,1577.1
HARRISON,INDIANA,1578.2
BRECKINRIDGE,KENTUCKY,1583.2
CLAY,INDIANA,1585.6
MADISON,VIRGINIA,1586.6
SHAWANO,WISCONSIN,1591.5
ST JOSEPH,MICHIGAN,1597.3
CULPEPER,VIRGINIA,1599.5
LAKE,TENNESSEE,1601.9
GLOUCESTER,VIRGINIA,1602.4
FAUQUIER,VIRGINIA,1609.8
MONTGOMERY,MARYLAND,1616.5
ASHLAND,OHIO,1630.6
GLADWIN,MICHIGAN,1635.1
HARFORD,MARYLAND,1639.2
IOWA,WISCONSIN,1642.2
STARK,OHIO,1650.4
MUSKINGUM,OHIO,1656.4
MONROE,TENNESSEE,1666.5
FRANKLIN,WASHINGTON,1667.6
LAKE,INDIANA,1670.3
ASOTIN,WASHINGTON,1670.3
WORCESTER,MARYLAND,1674.9
ORANGE,VIRGINIA,1677.6
CARLISLE,KENTUCKY,1682.9
WAUPACA,WISCONSIN,1687.3
SOUTHAMPTON,VIRGINIA,1692.6
AMELIA,VIRGINIA,1696.3
BONNEVILLE,IDAHO,1698.0
DINWIDDIE,VIRGINIA,1698.8
BANNOCK,IDAHO,1699.0
LAGRANGE,INDIANA,1699.3
BEDFORD,TENNESSEE,1702.3
MEDINA,OHIO,1702.4
ISLE OF WIGHT,VIRGINIA,1708.7
PRINCE GEORGE,VIRGINIA,1710.9
COFFEE,TENNESSEE,1711.8
LICKING,OHIO,1712.9
HENDRICKS,INDIANA,1714.1
RIPLEY,INDIANA,1715.3
OBION,TENNESSEE,1715.9
CARIBOU,IDAHO,1718.6
BUTLER,OHIO,1726.0
JACKSON,INDIANA,1727.7
MADERA,CALIFORNIA,1733.3
SKAGIT,WASHINGTON,1737.6
VANDERBURGH,INDIANA,1737.7
WARRICK,INDIANA,1737.8
TUSCARAWAS,OHIO,1747.3
SISKIYOU,CALIFORNIA,1749.4
RICHLAND,OHIO,1749.8
